timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666687958586,174,test1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,342172,284,10,10,null,0,0,0
1666687958586,174,HTTP Request,200,OK,Thread Group 1-5,text,true,,342172,284,10,10,https://en.wikipedia.org/wiki/Computer_network,53,0,0
1666687958586,53,HTTP Request-0,301,TLS Redirect,Thread Group 1-5,,true,,614,142,10,10,http://en.wikipedia.org/wiki/Computer_network,53,0,0
1666687958639,121,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,341558,142,10,10,https://en.wikipedia.org/wiki/Computer_network,54,0,0
1666687958595,176,test1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,342172,284,10,10,null,0,1,0
1666687958595,176,HTTP Request,200,OK,Thread Group 1-7,text,true,,342172,284,10,10,https://en.wikipedia.org/wiki/Computer_network,51,0,0
1666687958595,51,HTTP Request-0,301,TLS Redirect,Thread Group 1-7,,true,,614,142,10,10,http://en.wikipedia.org/wiki/Computer_network,51,0,0
1666687958646,125,HTTP Request-1,200,OK,Thread Group 1-7,text,true,,341558,142,10,10,https://en.wikipedia.org/wiki/Computer_network,54,0,0
1666687958324,705,test2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,17494,119,10,10,null,0,1,207
1666687958325,705,HTTP Request,200,OK,Thread Group 1-3,text,true,,17494,119,10,10,https://www.google.com/,692,0,207
1666687958364,695,test2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,17482,119,10,10,null,0,1,197
1666687958365,695,HTTP Request,200,OK,Thread Group 1-4,text,true,,17482,119,10,10,https://www.google.com/,679,0,197
1666687958388,690,test2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,17516,119,10,10,null,0,0,195
1666687958388,690,HTTP Request,200,OK,Thread Group 1-1,text,true,,17516,119,10,10,https://www.google.com/,680,0,195
1666687958391,698,test2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,17460,119,10,10,null,0,1,205
1666687958392,698,HTTP Request,200,OK,Thread Group 1-2,text,true,,17460,119,10,10,https://www.google.com/,685,0,205
1666687958395,735,test2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,17453,119,10,10,null,0,0,197
1666687958395,735,HTTP Request,200,OK,Thread Group 1-8,text,true,,17453,119,10,10,https://www.google.com/,720,0,197
1666687959031,179,test1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,342172,284,10,10,null,0,1,0
1666687959031,179,HTTP Request,200,OK,Thread Group 1-3,text,true,,342172,284,10,10,https://en.wikipedia.org/wiki/Computer_network,53,0,0
1666687959031,53,HTTP Request-0,301,TLS Redirect,Thread Group 1-3,,true,,614,142,10,10,http://en.wikipedia.org/wiki/Computer_network,53,0,0
1666687959084,126,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,341558,142,10,10,https://en.wikipedia.org/wiki/Computer_network,53,0,0
1666687959060,174,test1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,342172,284,10,10,null,0,1,0
